n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
880,881,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
882,883,False,True,0.996092478020189,0.996092478020189,True,True,True,True,True
886,887,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
892,893,False,False,0.992961559285328,0.992961559285328,True,True,True,False,False
898,899,False,False,0.992691839220463,0.992691839220463,True,True,True,False,False
900,901,False,False,0.995659251220836,0.995659251220836,True,True,True,False,False
906,907,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
910,911,False,True,0.995114006514658,0.995114006514658,True,True,True,True,True
912,913,False,False,0.995929995929996,0.995929995929996,True,True,True,False,False
918,919,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
922,923,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
928,929,False,True,0.995662781241529,0.995662781241529,True,True,True,True,True
936,937,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
940,941,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
942,943,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
946,947,False,True,0.993495934959350,0.993495934959350,True,True,True,True,True
948,949,False,False,0.995523906408952,0.995523906408952,True,True,True,False,False
952,953,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
960,961,False,False,0.995929995929996,0.995929995929996,True,True,True,False,False
966,967,False,True,0.995520260639381,0.995520260639381,True,True,True,True,True
970,971,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
976,977,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
978,979,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
982,983,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
988,989,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
990,991,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
996,997,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1002,1003,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
1006,1007,False,False,0.992691839220463,0.992691839220463,True,True,True,False,False
1008,1009,False,True,0.996046051866496,0.996046051866496,True,True,True,True,True
1012,1013,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1018,1019,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
1020,1021,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
1026,1027,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1030,1031,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
1032,1033,False,True,0.996092478020189,0.996092478020189,True,True,True,True,True
1036,1037,False,False,0.994306628710858,0.994306628710858,True,True,True,False,False
1038,1039,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1048,1049,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
1050,1051,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
1060,1061,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1062,1063,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
1066,1067,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
1068,1069,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
1072,1073,False,False,0.994797593887173,0.994797593887173,True,True,True,False,False
1078,1079,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1080,1081,False,False,0.995813953488372,0.995813953488372,True,True,True,False,False
1086,1087,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1090,1091,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
1092,1093,False,True,0.996089294443539,0.996089294443539,True,True,True,True,True
1096,1097,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
